Crossing ID,Google Maps,County,City,Route,Street,Urban Rural,MPO,RPO,Primary RR,Trains Per Day,TPD Source,TPD Year,Train Speed,Total Tracks,Warning Device,Is Shortline RR,Is Amtrak Service,Road Class,Road Lanes,Road Speed,AADT,AADT Truck,AADT Year,Crashes 5yrs,Crashes PDO,Crashes Injury,Crashes Fatal,Blocked Reports,Lat WGS84,LonWGS84,ObjectId,x,y
525086N,"https://www.google.com/maps/@39.78271597,-84.74136419,200m/data=!3m1!1e3",PREBLE,EATON,TR 137,DAILY RD,Rural,None,None,NS - Norfolk Southern Railway Company,29,PUCO/FRA,2020,60,2,Flashing Lights,No,No,7 - Local,2,45,50,2,2020,0,0,0,0,14,39.78271597,-84.74136419,3811,-9433365.51075815,4834417.21287929
151846R,"https://www.google.com/maps/@39.90591457,-83.07691768,200m/data=!3m1!1e3",FRANKLIN,URBANCREST,N/A,CENTERPOINT DR,Urban,Mid-Ohio Regional Planning Commission (Columbus),None,IORY - Indiana & Ohio Railway,2,FRA,2017,40,1,Lights and Gates,Yes,No,7 - Local,2,35,3846,192,2020,0,0,0,0,0,39.90591457,-83.07691768,1896,-9248080.17281231,4852279.44583905
474221L,"https://www.google.com/maps/@40.31978923,-81.74388745,200m/data=!3m1!1e3",COSHOCTON,WEST LAFAYETTE,TR 173,T-173 RD,Rural,None,Ohio Mid-Eastern Governments Association,OHCR - Ohio Central Railroad Company,3,FRA,2021,30,1,Crossbucks,Yes,No,7 - Local,2,55,88,4,2020,0,0,0,0,0,40.31978923,-81.74388745,814,-9099687.92639667,4912522.58181719
510749Y,"https://www.google.com/maps/@40.3923998,-81.34225947,200m/data=!3m1!1e3",TUSCARAWAS,UHRICHSVILLE,CR 612,N DAWSON ST,Urban,None,Ohio Mid-Eastern Governments Association,CUOH - Columbus & Ohio River Railroad,4,FRA,2016,25,1,Lights and Gates,Yes,No,5 - Major Collector,2,25,2668,81,2021,0,0,0,0,0,40.3923998,-81.34225947,4306,-9054978.90417473,4923129.67441833
258350H,"https://www.google.com/maps/@41.68676849,-83.97566126,200m/data=!3m1!1e3",FULTON,METAMORA,TR 6,CO RD 6,Rural,None,Maumee Valley Planning Organization,IORY - Indiana & Ohio Railway,0,FRA,2017,49,1,Lights and Gates,Yes,No,7 - Local,2,45,360,26,2021,0,0,0,0,0,41.68676849,-83.97566126,1650,-9348127.85049163,5114173.75485301
155789T,"https://www.google.com/maps/@41.38320443,-83.76697595,200m/data=!3m1!1e3",WOOD,WESTON,TR 43,RANGE LINE RD,Rural,Toledo Metropolitan Area Council of Governments (Toledo),None,CSX - CSX Transportation,7,PUCO/FRA,2021,50,1,Lights and Gates,No,No,7 - Local,2,45,215,11,2021,0,0,0,0,0,41.38320443,-83.76697595,5483,-9324897.10804639,5069029.60347326
473707K,"https://www.google.com/maps/@41.33652741,-83.10384156,200m/data=!3m1!1e3",SANDUSKY,FREMONT,CR 802,S BUCHANAN ST,Urban,None,None,NS - Norfolk Southern Railway Company,20,FRA,2020,50,1,Lights and Gates,No,No,5 - Major Collector,2,25,2107,64,2021,0,0,0,0,0,41.33652741,-83.10384156,4303,-9251077.32542409,5062106.81949435
524056T,"https://www.google.com/maps/@41.38969267,-82.55971742,200m/data=!3m1!1e3",ERIE,HURON,SR 13,MAIN ST,Urban,Erie Regional Planning Commission (Sandusky),None,NS - Norfolk Southern Railway Company,40,FRA,2022,79,2,Lights and Gates,No,Yes,4 - Minor Arterial,2,35,4353,161,2021,0,0,0,0,1,41.38969267,-82.55971742,1401,-9190505.70323096,5069992.28360005
475266W,"https://www.google.com/maps/@41.42438133,-83.85386172,200m/data=!3m1!1e3",LUCAS,GRAND RAPIDS,CR 111,JEFFERS RD,Rural,Toledo Metropolitan Area Council of Governments (Toledo),None,TLEW - Toledo Lake Erie & Western Railroad,0,PUCO,2003,10,1,Crossbucks,Yes,No,7 - Local,2,55,718,36,2021,0,0,0,0,0,41.42438133,-83.85386172,2975,-9334569.18771997,5075140.77756622
509163V,"https://www.google.com/maps/@41.4605192,-83.36741917,200m/data=!3m1!1e3",SANDUSKY,WOODVILLE,CR 30,LIME RD,Rural,None,None,CSX - CSX Transportation,0,FRA,2022,10,2,Crossbucks,No,No,5 - Major Collector,2,Unknown,667,49,2021,0,0,0,0,0,41.4605192,-83.36741917,4650,-9280418.65075379,5080507.2894364
524199R,"https://www.google.com/maps/@41.5221034,-81.65726218,200m/data=!3m1!1e3",CUYAHOGA,CLEVELAND,MR 2741,E 53RD ST,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,NS - Norfolk Southern Railway Company,0,PUCO/FRA,Unknown,10,1,Crossbucks,No,No,7 - Local,2,25,38,2,2020,0,0,0,0,0,41.5221034,-81.65726218,1057,-9090044.84545044,5089659.50347131
502496X,"https://www.google.com/maps/@40.80674295,-81.89638727,200m/data=!3m1!1e3",WAYNE,WOOSTER,TR 68,N GEYERS CHAPEL RD,Rural,None,None,NS - Norfolk Southern Railway Company,16,FRA,2020,35,2,Lights and Gates,No,No,7 - Local,2,45,309,16,2021,0,0,0,0,0,40.80674295,-81.89638727,5139,-9116664.12870513,4983877.94773761
474317B,"https://www.google.com/maps/@40.71943205,-81.52944619,200m/data=!3m1!1e3",STARK,NAVARRE,US 62,CANAL ST,Rural,Stark County Area Transportation Study (Canton),None,WE - Wheeling & Lake Erie Railway Company,0,PUCO/FRA,2021,10,1,Flashing Lights,Yes,No,4 - Minor Arterial,2,25,3946,189,2021,0,0,0,0,0,40.71943205,-81.52944619,4896,-9075816.4345284,4971045.62171443
