Edition,Name,Footnote,Type,Designation,d,W,A,tw,tw/2,bf,tf,T,k,k1,bf/2tf,h/tw,Fy''',X1,X2x10^6,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(alpha),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Qf,Qw,B,Ht / t,Ht,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,tfdet,kdes,kdet,B/t,Sz,Qs
13th,W44X335,0,W,W44X335,44,335,98.5,1.03,  1/2 ,15.9,1.77,0,0,1  5/16,4.5,38,0,0,0,31100,1620,1410,17.8,0,0,1200,236,150,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000,0,0,0,0,168,1180,278,805,0,0,0,0,0,0,0,0,0,44,16,1,1  3/4 ,2.56,2  5/8 ,0,0,0
13th,W44X290,0,W,W44X290,43.6,290,85.4,0.865,  7/16,15.8,1.58,0,0,1  1/4 ,5.02,45,0,0,0,27000,1410,1240,17.8,0,0,1040,205,132,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461000,0,0,0,0,166,1040,248,701,0,0,0,0,0,0,0,0,0,43  5/8 ,15  7/8 ,  7/8 ,1  9/16,2.36,2  7/16,0,0,0
13th,W44X262,0,W,W44X262,43.3,262,76.9,0.785,  7/16,15.8,1.42,0,0,1  3/16,5.57,49.6,0,0,0,24100,1270,1110,17.7,0,0,923,182,117,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405000,0,0,0,0,165,928,223,630,0,0,0,0,0,0,0,0,0,43  1/4 ,15  3/4 , 13/16,1  7/16,2.2,2  1/4 ,0,0,0
13th,W44X230,0,W,W44X230,42.9,230,67.7,0.71,  3/8 ,15.8,1.22,0,0,1  3/16,6.45,54.8,0,0,0,20800,1100,971,17.5,0,0,796,157,101,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346000,0,0,0,0,165,793,192,547,0,0,0,0,0,0,0,0,0,42  7/8 ,15  3/4 , 11/16,1  1/4 ,2.01,2  1/16,0,0,0
13th,W40X593,0,W,W40X593,43,593,174,1.79, 15/16,16.7,3.23,0,0,2  1/8 ,2.58,19.1,0,0,0,50400,2760,2340,17,0,0,2520,481,302,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997000,0,0,0,0,166,2240,479,1370,0,0,0,0,0,0,0,0,0,43,16  3/4 ,1 13/16,3  1/4 ,4.41,4  1/2 ,0,0,0
13th,W40X503,0,W,W40X503,42.1,503,148,1.54, 13/16,16.4,2.76,0,0,2,2.98,22.3,0,0,0,41600,2320,1980,16.8,0,0,2040,394,249,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789000,0,0,0,0,161,1830,403,1150,0,0,0,0,0,0,0,0,0,42,16  3/8 ,1  9/16,2  3/4 ,3.94,4,0,0,0
13th,W40X431,0,W,W40X431,41.3,431,127,1.34, 11/16,16.2,2.36,0,0,1  7/8 ,3.44,25.5,0,0,0,34800,1960,1690,16.6,0,0,1690,328,208,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638000,0,0,0,0,158,1510,341,969,0,0,0,0,0,0,0,0,0,41  1/4 ,16  1/4 ,1  5/16,2  3/8 ,3.54,3  5/8 ,0,0,0
13th,W40X397,0,W,W40X397,41,397,117,1.22,  5/8 ,16.1,2.2,0,0,1 13/16,3.66,28,0,0,0,32000,1800,1560,16.6,0,0,1540,300,191,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579000,0,0,0,0,156,1380,318,891,0,0,0,0,0,0,0,0,0,41,16  1/8 ,1  1/4 ,2  3/16,3.38,3  1/2 ,0,0,0
13th,W40X372,0,W,W40X372,40.6,372,109,1.16,  5/8 ,16.1,2.05,0,0,1 13/16,3.93,29.5,0,0,0,29600,1680,1460,16.5,0,0,1420,277,177,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528000,0,0,0,0,155,1280,295,829,0,0,0,0,0,0,0,0,0,40  5/8 ,16  1/8 ,1  3/16,2  1/16,3.23,3  5/16,0,0,0
13th,W40X362,0,W,W40X362,40.6,362,107,1.12,  9/16,16,2.01,0,0,1  3/4 ,3.99,30.5,0,0,0,28900,1640,1420,16.5,0,0,1380,270,173,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513000,0,0,0,0,154,1240,289,808,0,0,0,0,0,0,0,0,0,40  1/2 ,16,1  1/8 ,2,3.19,3  1/4 ,0,0,0
13th,W40X324,0,W,W40X324,40.2,324,95.3,1,  1/2 ,15.9,1.81,0,0,1 11/16,4.4,34.2,0,0,0,25600,1460,1280,16.4,0,0,1220,239,153,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448000,0,0,0,0,153,1100,259,720,0,0,0,0,0,0,0,0,0,40  1/8 ,15  7/8 ,1,1 13/16,2.99,3  1/16,0,0,0
13th,W40X297,0,W,W40X297,39.8,297,87.4,0.93,  1/2 ,15.8,1.65,0,0,1 11/16,4.8,36.8,0,0,0,23200,1330,1170,16.3,0,0,1090,215,138,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399000,0,0,0,0,151,982,234,652,0,0,0,0,0,0,0,0,0,39  7/8 ,15  7/8 , 15/16,1  5/8 ,2.83,2 15/16,0,0,0
13th,W40X277,0,W,W40X277,39.7,277,81.4,0.83,  7/16,15.8,1.58,0,0,1  5/8 ,5.03,41.2,0,0,0,21900,1250,1100,16.4,0,0,1040,204,132,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379000,0,0,0,0,151,940,225,614,0,0,0,0,0,0,0,0,0,39  3/4 ,15  7/8 , 13/16,1  9/16,2.76,2  7/8 ,0,0,0
13th,W40X249,0,W,W40X249,39.4,249,73.3,0.75,  3/8 ,15.8,1.42,0,0,1  9/16,5.55,45.6,0,0,0,19600,1120,993,16.3,0,0,926,182,118,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334000,0,0,0,0,150,841,203,551,0,0,0,0,0,0,0,0,0,39  3/8 ,15  3/4 ,  3/4 ,1  7/16,2.6,2 11/16,0,0,0
13th,W40X215,0,W,W40X215,39,215,63.4,0.65,  5/16,15.8,1.22,0,0,1  9/16,6.45,52.6,0,0,0,16700,964,859,16.2,0,0,796,156,101,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284000,0,0,0,0,149,719,175,473,0,0,0,0,0,0,0,0,0,39,15  3/4 ,  5/8 ,1  1/4 ,2.4,2  1/2 ,0,0,0
13th,W40X199,0,W,W40X199,38.7,199,58.5,0.65,  5/16,15.8,1.07,0,0,1  9/16,7.39,52.6,0,0,0,14900,869,770,16,0,0,695,137,88.2,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246000,0,0,0,0,149,628,153,427,0,0,0,0,0,0,0,0,0,38  5/8 ,15  3/4 ,  5/8 ,1  1/16,2.25,2  5/16,0,0,0
13th,W40X392,0,W,W40X392,41.6,392,115,1.42,  3/4 ,12.4,2.52,0,0,1 15/16,2.45,24.1,0,0,0,29900,1710,1440,16.1,0,0,803,212,130,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306000,0,0,0,0,121,946,270,848,0,0,0,0,0,0,0,0,0,41  5/8 ,12  3/8 ,1  7/16,2  1/2 ,3.7,3 13/16,0,0,0
13th,W40X331,0,W,W40X331,40.8,331,97.5,1.22,  5/8 ,12.2,2.13,0,0,1 13/16,2.86,28,0,0,0,24700,1430,1210,15.9,0,0,644,172,106,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241000,0,0,0,0,118,766,226,706,0,0,0,0,0,0,0,0,0,40  3/4 ,12  1/8 ,1  1/4 ,2  1/8 ,3.31,3  3/8 ,0,0,0
13th,W40X327,0,W,W40X327,40.8,327,96,1.18,  5/8 ,12.1,2.13,0,0,1 13/16,2.85,29,0,0,0,24500,1410,1200,16,0,0,640,170,105,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239000,0,0,0,0,117,754,225,695,0,0,0,0,0,0,0,0,0,40  3/4 ,12  1/8 ,1  3/16,2  1/8 ,3.31,3  3/8 ,0,0,0
13th,W40X294,0,W,W40X294,40.4,294,86.3,1.06,  9/16,12,1.93,0,0,1  3/4 ,3.11,32.2,0,0,0,21900,1270,1080,15.9,0,0,562,150,93.5,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208000,0,0,0,0,115,668,203,622,0,0,0,0,0,0,0,0,0,40  3/8 ,12,1  1/16,1 15/16,3.11,3  3/16,0,0,0
13th,W40X278,0,W,W40X278,40.2,278,82,1.03,  1/2 ,12,1.81,0,0,1  3/4 ,3.31,33.3,0,0,0,20500,1190,1020,15.8,0,0,521,140,87.1,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192000,0,0,0,0,115,622,190,587,0,0,0,0,0,0,0,0,0,40  1/8 ,12,1,1 13/16,2.99,3  1/16,0,0,0
13th,W40X264,0,W,W40X264,40,264,77.6,0.96,  1/2 ,11.9,1.73,0,0,1 11/16,3.45,35.6,0,0,0,19400,1130,971,15.8,0,0,493,132,82.6,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181000,0,0,0,0,114,589,182,555,0,0,0,0,0,0,0,0,0,40,11  7/8 , 15/16,1  3/4 ,2.91,3,0,0,0
13th,W40X235,0,W,W40X235,39.7,235,69,0.83,  7/16,11.9,1.58,0,0,1  5/8 ,3.77,41.2,0,0,0,17400,1010,875,15.9,0,0,444,118,74.6,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,0,0,0,0,113,530,166,495,0,0,0,0,0,0,0,0,0,39  3/4 ,11  7/8 , 13/16,1  9/16,2.76,2  7/8 ,0,0,0
13th,W40X211,0,W,W40X211,39.4,211,62,0.75,  3/8 ,11.8,1.42,0,0,1  9/16,4.17,45.6,0,0,0,15500,906,786,15.8,0,0,390,105,66.1,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141000,0,0,0,0,112,468,148,442,0,0,0,0,0,0,0,0,0,39  3/8 ,11  3/4 ,  3/4 ,1  7/16,2.6,2 11/16,0,0,0
13th,W40X183,0,W,W40X183,39,183,53.3,0.65,  5/16,11.8,1.2,0,0,1  9/16,4.92,52.6,0,0,0,13200,774,675,15.7,0,0,331,88.3,56,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000,0,0,0,0,112,395,126,376,0,0,0,0,0,0,0,0,0,39,11  3/4 ,  5/8 ,1  3/16,2.38,2  1/2 ,0,0,0
13th,W40X167,0,W,W40X167,38.6,167,49.2,0.65,  5/16,11.8,1.03,0,0,1  9/16,5.76,52.6,0,0,0,11600,693,600,15.3,0,0,283,76,47.9,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99700,0,0,0,0,111,336,107,336,0,0,0,0,0,0,0,0,0,38  5/8 ,11  3/4 ,  5/8 ,1,2.21,2  5/16,0,0,0
13th,W40X149,0,W,W40X149,38.2,149,43.8,0.63,  5/16,11.8,0.83,0,0,1  1/2 ,7.11,54.3,0,0,0,9800,598,513,15,0,0,229,62.2,38.8,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,110,270,86.7,288,0,0,0,0,0,0,0,0,0,38  1/4 ,11  3/4 ,  5/8 , 13/16,2.01,2  1/8 ,0,0,0
13th,W36X800,0,W,W36X800,42.6,800,236,2.38,1  3/16,18,4.29,0,0,2  3/8 ,2.1,13.5,0,0,0,64700,3650,3040,16.6,0,0,4200,743,467,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540000,0,0,0,0,172,3320,641,1820,0,0,0,0,0,0,0,0,0,42  1/2 ,18,2  3/8 ,4  5/16,5.24,5  9/16,0,0,0
13th,W36X652,0,W,W36X652,41.1,652,192,1.97,1,17.6,3.54,0,0,2  3/16,2.48,16.3,0,0,0,50600,2910,2460,16.2,0,0,3230,581,367,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130000,0,0,0,0,165,2560,518,1450,0,0,0,0,0,0,0,0,0,41,17  5/8 ,2,3  9/16,4.49,4 13/16,0,0,0
13th,W36X529,0,W,W36X529,39.8,529,156,1.61, 13/16,17.2,2.91,0,0,2,2.96,19.9,0,0,0,39600,2330,1990,16,0,0,2490,454,289,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846000,0,0,0,0,159,1990,419,1160,0,0,0,0,0,0,0,0,0,39  3/4 ,17  1/4 ,1  5/8 ,2 15/16,3.86,4  3/16,0,0,0
13th,W36X487,0,W,W36X487,39.3,487,143,1.5,  3/4 ,17.1,2.68,0,0,1  7/8 ,3.19,21.4,0,0,0,36000,2130,1830,15.8,0,0,2250,412,263,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754000,0,0,0,0,157,1800,383,1060,0,0,0,0,0,0,0,0,0,39  3/8 ,17  1/8 ,1  1/2 ,2 11/16,3.63,4,0,0,0
13th,W36X441,0,W,W36X441,38.9,441,130,1.36, 11/16,17,2.44,0,0,1  7/8 ,3.48,23.6,0,0,0,32100,1910,1650,15.7,0,0,1990,368,235,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661000,0,0,0,0,154,1600,347,950,0,0,0,0,0,0,0,0,0,38  7/8 ,17,1  3/8 ,2  7/16,3.39,3  3/4 ,0,0,0
13th,W36X395,0,W,W36X395,38.4,395,116,1.22,  5/8 ,16.8,2.2,0,0,1 13/16,3.83,26.3,0,0,0,28500,1710,1490,15.7,0,0,1750,325,208,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575000,0,0,0,0,152,1410,311,847,0,0,0,0,0,0,0,0,0,38  3/8 ,16  7/8 ,1  1/4 ,2  3/16,3.15,3  7/16,0,0,0
13th,W36X361,0,W,W36X361,38,361,106,1.12,  9/16,16.7,2.01,0,0,1  3/4 ,4.16,28.6,0,0,0,25700,1550,1350,15.6,0,0,1570,293,188,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509000,0,0,0,0,150,1270,282,767,0,0,0,0,0,0,0,0,0,38,16  3/4 ,1  1/8 ,2,2.96,3  5/16,0,0,0
13th,W36X330,0,W,W36X330,37.7,330,97,1.02,  1/2 ,16.6,1.85,0,0,1  3/4 ,4.49,31.4,0,0,0,23300,1410,1240,15.5,0,0,1420,265,171,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456000,0,0,0,0,149,1150,259,698,0,0,0,0,0,0,0,0,0,37  5/8 ,16  5/8 ,1,1  7/8 ,2.8,3  1/8 ,0,0,0
13th,W36X302,0,W,W36X302,37.3,302,88.8,0.945,  1/2 ,16.7,1.68,0,0,1 11/16,4.96,33.9,0,0,0,21100,1280,1130,15.4,0,0,1300,241,156,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412000,0,0,0,0,148,1040,235,635,0,0,0,0,0,0,0,0,0,37  3/8 ,16  5/8 , 15/16,1 11/16,2.63,3,0,0,0
13th,W36X282,0,W,W36X282,37.1,282,82.9,0.885,  7/16,16.6,1.57,0,0,1  5/8 ,5.29,36.2,0,0,0,19600,1190,1050,15.4,0,0,1200,223,144,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378000,0,0,0,0,147,960,219,591,0,0,0,0,0,0,0,0,0,37  1/8 ,16  5/8 ,  7/8 ,1  9/16,2.52,2  7/8 ,0,0,0
13th,W36X262,0,W,W36X262,36.9,262,77,0.84,  7/16,16.6,1.44,0,0,1  5/8 ,5.75,38.2,0,0,0,17900,1100,972,15.3,0,0,1090,204,132,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342000,0,0,0,0,147,873,200,543,0,0,0,0,0,0,0,0,0,36  7/8 ,16  1/2 , 13/16,1  7/16,2.39,2  3/4 ,0,0,0
13th,W36X247,0,W,W36X247,36.7,247,72.5,0.8,  7/16,16.5,1.35,0,0,1  5/8 ,6.11,40.1,0,0,0,16700,1030,913,15.2,0,0,1010,190,123,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316000,0,0,0,0,146,812,187,509,0,0,0,0,0,0,0,0,0,36  5/8 ,16  1/2 , 13/16,1  3/8 ,2.3,2  5/8 ,0,0,0
13th,W36X231,0,W,W36X231,36.5,231,68.1,0.76,  3/8 ,16.5,1.26,0,0,1  9/16,6.54,42.2,0,0,0,15600,963,854,15.1,0,0,940,176,114,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292000,0,0,0,0,145,756,175,476,0,0,0,0,0,0,0,0,0,36  1/2 ,16  1/2 ,  3/4 ,1  1/4 ,2.21,2  9/16,0,0,0
13th,W36X256,0,W,W36X256,37.4,256,75.4,0.96,  1/2 ,12.2,1.73,0,0,1  5/16,3.53,33.8,0,0,0,16800,1040,895,14.9,0,0,528,137,86.5,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168000,0,0,0,0,109,576,174,516,0,0,0,0,0,0,0,0,0,37  3/8 ,12  1/4 , 15/16,1  3/4 ,2.48,2  5/8 ,0,0,0
13th,W36X232,0,W,W36X232,37.1,232,68.1,0.87,  7/16,12.1,1.57,0,0,1  1/4 ,3.86,37.3,0,0,0,15000,936,809,14.8,0,0,468,122,77.2,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148000,0,0,0,0,108,512,157,464,0,0,0,0,0,0,0,0,0,37  1/8 ,12  1/8 ,  7/8 ,1  9/16,2.32,2  7/16,0,0,0
13th,W36X210,0,W,W36X210,36.7,210,61.8,0.83,  7/16,12.2,1.36,0,0,1  1/4 ,4.48,39.1,0,0,0,13200,833,719,14.6,0,0,411,107,67.5,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128000,0,0,0,0,108,446,136,412,0,0,0,0,0,0,0,0,0,36  3/4 ,12  1/8 , 13/16,1  3/8 ,2.11,2  5/16,0,0,0
13th,W36X194,0,W,W36X194,36.5,194,57,0.765,  3/8 ,12.1,1.26,0,0,1  3/16,4.81,42.4,0,0,0,12100,767,664,14.6,0,0,375,97.7,61.9,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116000,0,0,0,0,107,407,126,379,0,0,0,0,0,0,0,0,0,36  1/2 ,12  1/8 ,  3/4 ,1  1/4 ,2.01,2  3/16,0,0,0
13th,W36X182,0,W,W36X182,36.3,182,53.6,0.725,  3/8 ,12.1,1.18,0,0,1  3/16,5.12,44.8,0,0,0,11300,718,623,14.5,0,0,347,90.7,57.6,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,0,0,0,0,106,378,118,355,0,0,0,0,0,0,0,0,0,36  3/8 ,12  1/8 ,  3/4 ,1  3/16,1.93,2  1/8 ,0,0,0
13th,W36X170,0,W,W36X170,36.2,170,50.1,0.68,  3/8 ,12,1.1,0,0,1  3/16,5.47,47.7,0,0,0,10500,668,581,14.5,0,0,320,83.8,53.2,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98500,0,0,0,0,105,349,109,330,0,0,0,0,0,0,0,0,0,36  1/8 ,12, 11/16,1  1/8 ,1.85,2,0,0,0
13th,W36X160,0,W,W36X160,36,160,47,0.65,  5/16,12,1.02,0,0,1  1/8 ,5.88,49.9,0,0,0,9760,624,542,14.4,0,0,295,77.3,49.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90200,0,0,0,0,105,321,101,308,0,0,0,0,0,0,0,0,0,36,12,  5/8 ,1,1.77,1 15/16,0,0,0
13th,W36X150,0,W,W36X150,35.9,150,44.2,0.625,  5/16,12,0.94,0,0,1  1/8 ,6.37,51.9,0,0,0,9040,581,504,14.3,0,0,270,70.9,45.1,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82200,0,0,0,0,105,294,93.1,287,0,0,0,0,0,0,0,0,0,35  7/8 ,12,  5/8 , 15/16,1.69,1  7/8 ,0,0,0
13th,W36X135,0,W,W36X135,35.6,135,39.7,0.6,  5/16,12,0.79,0,0,1  1/8 ,7.56,54.1,0,0,0,7800,509,439,14,0,0,225,59.7,37.7,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68100,0,0,0,0,104,245,77.9,251,0,0,0,0,0,0,0,0,0,35  1/2 ,12,  5/8 , 13/16,1.54,1 11/16,0,0,0
