Edition,Name,Footnote,Type,Designation,d,W,A,tw,tw/2,bf,tf,T,k,k1,bf/2tf,h/tw,Fy''',X1,X2x10^6,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(alpha),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Qf,Qw,B,Ht / t,Ht,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,tfdet,kdes,kdet,B/t,Sz,Qs
ASD7,WT 5x9.5,0,WT,WT 5x9.5,5.13,0,2.81,0,0,4.02,0.394,0,0,0,0,0,0,0,0,6.7,0,1.74,1.55,1.28,0,2.14,0,1.06,0.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 5x8.5,0,WT,WT 5x8.5,5.06,0,2.49,0,0,4.01,0.329,0,0,0,0,0,0,0,0,6.07,0,1.62,1.56,1.32,0,1.77,0,0.885,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 5x7.5,0,WT,WT 5x7.5,5,0,2.2,0,0,4,0.269,0,0,0,0,0,0,0,0,5.46,0,1.51,1.57,1.37,0,1.44,0,0.72,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 5x5.75,0,WT,WT 5x5.75,4.94,0,1.7,0,0,3.95,0.204,0,0,0,0,0,0,0,0,4.16,0,1.16,1.57,1.34,0,1.05,0,0.532,0.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x33.5,0,WT,WT 4x33.5,4.5,0,9.85,0,0,8.287,0.933,0,0,0,0,0,0,0,0,10.9,0,3.07,1.05,0.939,0,44.3,0,10.7,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x29,0,WT,WT 4x29,4.38,0,8.53,0,0,8.222,0.808,0,0,0,0,0,0,0,0,9.12,0,2.61,1.03,0.874,0,37.5,0,9.12,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x24,0,WT,WT 4x24,4.25,0,7.06,0,0,8.117,0.683,0,0,0,0,0,0,0,0,6.92,0,2,0.99,0.781,0,30.5,0,7.51,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x20,0,WT,WT 4x20,4.13,0,5.88,0,0,8.077,0.558,0,0,0,0,0,0,0,0,5.8,0,1.71,0.993,0.74,0,24.5,0,6.07,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x17.5,0,WT,WT 4x17.5,4.06,0,5.15,0,0,8.027,0.493,0,0,0,0,0,0,0,0,4.88,0,1.45,0.973,0.694,0,21.3,0,5.3,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x15.5,0,WT,WT 4x15.5,4,0,4.56,0,0,8,0.433,0,0,0,0,0,0,0,0,4.31,0,1.3,0.973,0.672,0,18.5,0,4.62,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
