beam_type,box,width_ft,n_beams,span_ft,rf_inv,rf_op,rf_ev2,rf_ev3,rf_s2f1,rf_s3f1,rf_s5c1,rf_spl60t,rf_spl65t,rf_su4,rf_su5,rf_su6,rf_su7,rf_type3,rf_type33,rf_type3s2
non_composite,B27-48,32,8,65,1.39,1.80,2.44,1.99,4.43,2.99,2.67,2.24,1.83,2.61,2.34,2.20,2.08,2.87,2.65,2.55
non_composite,B33-48,32,8,50,1.74,2.32,2.96,2.42,5.28,3.57,3.65,3.22,2.58,3.17,2.87,2.64,2.44,3.51,3.67,3.47
non_composite,B33-48,32,8,55,1.54,2.25,3.07,2.41,5.16,3.48,3.56,3.16,2.73,3.08,2.83,2.54,2.34,3.51,3.91,3.62
non_composite,B33-48,32,8,60,1.64,2.12,2.81,2.29,5.06,3.42,3.28,2.75,2.21,3.00,2.70,2.55,2.43,3.31,3.22,3.05
non_composite,B33-48,32,8,65,1.53,2.17,2.89,2.36,5.24,3.54,3.28,2.75,2.23,3.09,2.78,2.62,2.49,3.41,3.23,3.09
non_composite,B33-48,32,8,70,1.50,1.95,2.68,2.18,4.88,3.28,2.81,2.36,1.94,2.86,2.56,2.39,2.25,3.14,2.79,2.73
non_composite,B33-48,32,8,75,1.59,2.50,3.49,2.84,6.39,4.28,3.54,2.94,2.46,3.73,3.33,3.03,2.77,4.10,3.51,3.49
non_composite,B33-48,32,8,80,1.24,1.61,2.28,1.86,4.19,2.80,2.26,1.86,1.58,2.44,2.17,2.02,1.89,2.67,2.24,2.24
non_composite,B42-48,32,8,65,1.75,2.58,3.65,2.88,6.29,4.21,4.29,3.56,2.94,3.70,3.37,3.02,2.77,4.18,4.24,3.98
non_composite,B42-48,32,8,70,1.65,2.52,3.63,2.87,6.31,4.21,4.14,3.48,2.82,3.69,3.35,3.00,2.75,4.16,4.05,3.83
non_composite,B42-48,32,8,75,1.53,2.44,3.53,2.82,6.24,4.16,3.59,2.99,2.50,3.64,3.29,2.94,2.69,4.08,3.57,3.53
non_composite,B42-48,32,8,80,1.53,2.39,3.38,2.75,6.21,4.16,3.35,2.75,2.34,3.61,3.22,2.99,2.80,3.96,3.32,3.33
non_composite,B42-48,32,8,85,1.61,2.24,3.22,2.62,5.93,3.97,3.11,2.54,2.19,3.44,3.06,2.84,2.64,3.77,3.09,3.12
non_composite,B42-48,32,8,90,1.64,2.13,3.11,2.53,5.74,3.83,2.94,2.38,2.08,3.32,2.95,2.73,2.53,3.63,2.93,2.98
